location,date,average_temp,highest_temp,lowest_temp,day_status,night_status
福井市,1,16.2,22.8,9.5,晴一時曇,曇一時晴
福井市,2,17.0,23.8,12.4,曇後晴,晴後時々薄曇
福井市,3,17.6,24.2,11.5,薄曇後晴,晴時々曇
福井市,4,14.6,24.2,8.9,曇時々晴一時雨,曇時々雨
福井市,5,10.5,15.8,6.6,曇一時晴,曇後一時雨
福井市,6,15.5,20.5,10.8,雨一時曇,雨時々曇
福井市,7,7.6,11.0,4.1,雨後時々曇、あられを伴う,雨後一時晴、あられを伴う
福井市,8,5.0,8.5,2.7,曇時々雨一時あられ、みぞれを伴う,晴後曇一時雨
福井市,9,8.3,12.5,3.3,曇時々雨,晴、霧を伴う
福井市,10,13.2,21.3,5.1,晴後時々薄曇,薄曇一時晴
福井市,11,16.6,20.6,13.7,雨時々曇、雷を伴う,曇時々雨一時晴、雷・霧を伴う
福井市,12,15.4,20.8,11.6,晴一時雨、霧を伴う,晴
福井市,13,11.7,15.5,7.9,晴,晴時々薄曇
福井市,14,14.1,19.3,7.8,曇後時々雨,大雨
福井市,15,11.3,15.6,9.7,雨時々曇,曇一時晴
福井市,16,11.1,15.8,6.3,晴時々薄曇,薄曇
福井市,17,12.4,18.8,7.6,曇後一時雨,雨
福井市,18,13.9,19.1,10.2,晴時々曇一時雨,快晴
福井市,19,15.8,25.2,7.4,快晴,晴一時曇
福井市,20,15.7,22.7,9.7,快晴,快晴
福井市,21,20.0,29.7,9.7,快晴,快晴
福井市,22,19.1,25.8,13.0,薄曇時々晴,晴後時々曇
福井市,23,17.7,22.7,13.7,薄曇,雨時々曇
福井市,24,17.2,18.6,16.3,雨,大雨
福井市,25,13.9,16.9,11.0,雨一時曇,雨一時曇
福井市,26,13.7,18.0,10.7,晴後薄曇,薄曇
福井市,27,16.2,22.8,11.1,曇,晴後時々曇
福井市,28,15.1,20.2,12.0,晴一時曇,快晴
福井市,29,19.9,28.9,9.5,快晴,晴後一時薄曇
福井市,30,19.8,24.1,15.3,曇一時晴,晴
